title,structural_archetype,primary_domain,sub_category,published_date,publish_day,publish_hour,views,likes,comments,engagement_rate_%,duration_formatted,thumbnail_url,url,video_id,description_clean
وہ دور مصطفٰی تھا میں مدینہ نبی میں تھا۔ صلی اللّٰہ علیہ والہ وسلم,General Discourse,General Public Address,Unassigned Overview Topics,2024-03-06,Wednesday,11,9987,121,2,1.23,03:01,https://i.ytimg.com/vi/SfnV9pSUDBA/hqdefault.jpg,https://youtube.com/watch?v=SfnV9pSUDBA,SfnV9pSUDBA,
"If you feel ummah as your own, Watch it!",General Discourse,Civilizational History & Seerah,Prophetic Era (Seerah),2024-03-01,Friday,3,9511,396,67,4.87,11:37,https://i.ytimg.com/vi/ioPGsbAOYFc/sddefault.jpg,https://youtube.com/watch?v=ioPGsbAOYFc,ioPGsbAOYFc,#quran #muhammad #khilafat #politics #vote #seerat #voter #imrankhan #gaza #unitednations
رسول اللہ صلی اللّٰہ علیہ وسلم اورکفار کا اصل جھگڑا کیا تھا؟,General Discourse,General Public Address,Unassigned Overview Topics,2024-01-25,Thursday,5,1852,137,0,7.4,01:00,https://i.ytimg.com/vi/Mg0rCBwkM-0/maxresdefault.jpg,https://youtube.com/watch?v=Mg0rCBwkM-0,Mg0rCBwkM-0,
What is State?,General Discourse,General Public Address,Unassigned Overview Topics,2024-06-10,Monday,13,1129,44,1,3.99,00:55,https://i.ytimg.com/vi/rcylPCYmrhM/maxresdefault.jpg,https://youtube.com/watch?v=rcylPCYmrhM,rcylPCYmrhM,
ایّاک نعبد وایّاک نستعین,General Discourse,General Public Address,Unassigned Overview Topics,2026-02-13,Friday,13,972,32,1,3.4,00:44,https://i.ytimg.com/vi/JBHkwJepOOo/maxresdefault.jpg,https://youtube.com/watch?v=JBHkwJepOOo,JBHkwJepOOo,
1. Fatiha to Baqara 27 | Ramzan 26,Standalone Keynotes,Socio-Spiritual Ethics & Family,Social & Family Ethics,2026-02-19,Thursday,5,773,26,0,3.36,01:16:50,https://i.ytimg.com/vi/pDfLWACswqY/maxresdefault.jpg,https://youtube.com/watch?v=pDfLWACswqY,pDfLWACswqY,"#quran #ramazan #tarjuma #tarjumaequran #muhammad A complete translation & short explanation of the Holy Quran; the Book of our only Lord; ALLAH. Please subscribe to our channel And Press the bell Button. Also, like our videos and share them with family and friends..."
Beware to oppose public rights movement,General Discourse,Civilizational History & Seerah,Prophetic Era (Seerah),2024-04-07,Sunday,7,744,61,0,8.2,00:39,https://i.ytimg.com/vi/diHb_vtD2zE/maxresdefault.jpg,https://youtube.com/watch?v=diHb_vtD2zE,diHb_vtD2zE,#muhammad #history #seerat #sahaba #sahabiyat #medical #medicine
Discussion of Aiman,Standalone Keynotes,Socio-Spiritual Ethics & Family,Social & Family Ethics,2024-07-08,Monday,5,728,7,0,0.96,01:00:11,https://i.ytimg.com/vi/un38nadMzwU/sddefault.jpg,https://youtube.com/watch?v=un38nadMzwU,un38nadMzwU,"#quran #ramazan #tarjuma #tarjumaequran #muhammad A complete translation & short explanation of the Holy Quran; the Book of our only Lord; ALLAH. Please subscribe to our channel And Press the bell Button. Also, like our videos and share them with family and friends..."
معراج | Iqbal & Quran with friends | ضربِ کلیم | Ep.10,General Discourse,Iqbalian Philosophy (Fikr-e-Iqbal),Zarb-e-Kalim,2023-04-01,Saturday,10,689,12,1,1.89,13:15,https://i.ytimg.com/vi/NUo9qrIKmPY/maxresdefault.jpg,https://youtube.com/watch?v=NUo9qrIKmPY,NUo9qrIKmPY,"A collective study of Kalam e Iqbal with reference to the Quran. #اقبال #کلام #قرآن #quran #iqbal #momin #poetry #iqbalpoetry Please subscribe to our channel And Press the bell Button. Also, like our videos and share them with family and friends..."
5A. Pursuits vs Purpose of Life,Standalone Keynotes,Socio-Spiritual Ethics & Family,Social & Family Ethics,2024-06-23,Sunday,5,636,8,0,1.26,01:01:56,https://i.ytimg.com/vi/p2XpUjtBJcI/sddefault.jpg,https://youtube.com/watch?v=p2XpUjtBJcI,p2XpUjtBJcI,"#quran #ramazan #tarjuma #tarjumaequran #muhammad A complete translation & short explanation of the Holy Quran; the Book of our only Lord; ALLAH. Please subscribe to our channel And Press the bell Button. Also, like our videos and share them with family and friends..."
