title,primary_domain,structural_archetype,published_date,publish_day,publish_hour,views,likes,comments,engagement_rate_%,duration_formatted,thumbnail_url,url,video_id,description_clean
وہ دور مصطفٰی تھا میں مدینہ نبی میں تھا۔ صلی اللّٰہ علیہ والہ وسلم,Unassigned Individual Uploads,General Discourse,06-03-24,Wednesday,11,9987,121,2,1.23,3:01,https://i.ytimg.com/vi/SfnV9pSUDBA/hqdefault.jpg,https://youtube.com/watch?v=SfnV9pSUDBA,SfnV9pSUDBA,
"If you feel ummah as your own, Watch it!",Pak & Ummah affairs,General Discourse,01-03-24,Friday,3,9511,396,67,4.87,11:37,https://i.ytimg.com/vi/ioPGsbAOYFc/sddefault.jpg,https://youtube.com/watch?v=ioPGsbAOYFc,ioPGsbAOYFc,#quran #muhammad #khilafat #politics #vote #seerat #voter #imrankhan #gaza #unitednations
رسول اللہ صلی اللّٰہ علیہ وسلم اورکفار کا اصل جھگڑا کیا تھا؟,Unassigned Individual Uploads,General Discourse,25-01-24,Thursday,5,1852,137,0,7.4,1:00,https://i.ytimg.com/vi/Mg0rCBwkM-0/maxresdefault.jpg,https://youtube.com/watch?v=Mg0rCBwkM-0,Mg0rCBwkM-0,
What is State?,Unassigned Individual Uploads,General Discourse,10-06-24,Monday,13,1129,44,1,3.99,0:55,https://i.ytimg.com/vi/rcylPCYmrhM/maxresdefault.jpg,https://youtube.com/watch?v=rcylPCYmrhM,rcylPCYmrhM,
ایّاک نعبد وایّاک نستعین,Unassigned Individual Uploads,General Discourse,13-02-26,Friday,13,972,32,1,3.4,0:44,https://i.ytimg.com/vi/JBHkwJepOOo/maxresdefault.jpg,https://youtube.com/watch?v=JBHkwJepOOo,JBHkwJepOOo,
1. Fatiha to Baqara 27 | Ramzan 26,Tarjuma Quran in Ramazan 2026,Standalone Keynotes,19-02-26,Thursday,5,773,26,0,3.36,1:16:50,https://i.ytimg.com/vi/pDfLWACswqY/maxresdefault.jpg,https://youtube.com/watch?v=pDfLWACswqY,pDfLWACswqY,"#quran #ramazan #tarjuma #tarjumaequran #muhammad A complete translation & short explanation of the Holy Quran; the Book of our only Lord; ALLAH. Please subscribe to our channel And Press the bell Button. Also, like our videos and share them with family and friends..."
Beware to oppose public rights movement,Our Teachers,General Discourse,07-04-24,Sunday,7,744,61,0,8.2,0:39,https://i.ytimg.com/vi/diHb_vtD2zE/maxresdefault.jpg,https://youtube.com/watch?v=diHb_vtD2zE,diHb_vtD2zE,#muhammad #history #seerat #sahaba #sahabiyat #medical #medicine
Discussion of Aiman,Unassigned Individual Uploads,Standalone Keynotes,08-07-24,Monday,5,728,7,0,0.96,1:00:11,https://i.ytimg.com/vi/un38nadMzwU/sddefault.jpg,https://youtube.com/watch?v=un38nadMzwU,un38nadMzwU,"#quran #ramazan #tarjuma #tarjumaequran #muhammad A complete translation & short explanation of the Holy Quran; the Book of our only Lord; ALLAH. Please subscribe to our channel And Press the bell Button. Also, like our videos and share them with family and friends..."
معراج | Iqbal & Quran with friends | ضربِ کلیم | Ep.10,IQBAL & QURAN with friends,General Discourse,01-04-23,Saturday,10,689,12,1,1.89,13:15,https://i.ytimg.com/vi/NUo9qrIKmPY/maxresdefault.jpg,https://youtube.com/watch?v=NUo9qrIKmPY,NUo9qrIKmPY,"A collective study of Kalam e Iqbal with reference to the Quran. #اقبال #کلام #قرآن #quran #iqbal #momin #poetry #iqbalpoetry Please subscribe to our channel And Press the bell Button. Also, like our videos and share them with family and friends..."
5A. Pursuits vs Purpose of Life,Online Quran sessions 1,Standalone Keynotes,23-06-24,Sunday,5,636,8,0,1.26,1:01:56,https://i.ytimg.com/vi/p2XpUjtBJcI/sddefault.jpg,https://youtube.com/watch?v=p2XpUjtBJcI,p2XpUjtBJcI,"#quran #ramazan #tarjuma #tarjumaequran #muhammad A complete translation & short explanation of the Holy Quran; the Book of our only Lord; ALLAH. Please subscribe to our channel And Press the bell Button. Also, like our videos and share them with family and friends..."
